Occupation code,Occupation title ,Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
47-2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",broad,"189,130",1.6%,1.307,$20.67,$22.76,"$47,340",0.6%
47-2051,Cement Masons and Concrete Finishers,detail,"186,400",1.6%,1.288,$20.67,$22.76,"$47,350",0.6%
47-2053,Terrazzo Workers and Finishers,detail,"2,730",11.6%,0.019,$20.43,$22.71,"$47,230",4.1%
47-2061,Construction Laborers,detail,"1,001,470",0.7%,6.919,$17.21,$19.40,"$40,350",0.3%
47-2070,Construction Equipment Operators,broad,"433,690",0.8%,2.996,$22.59,$25.09,"$52,190",0.3%
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detail,"46,760",3.1%,0.323,$19.13,$21.32,"$44,360",1.1%
47-2072,Pile-Driver Operators,detail,"3,450",8.0%,0.024,$28.21,$30.94,"$64,360",2.6%
47-2073,Operating Engineers and Other Construction Equipment Operators,detail,"383,480",0.8%,2.650,$22.98,$25.50,"$53,030",0.3%
47-2080,"Drywall Installers, Ceiling Tile Installers, and Tapers",broad,"120,220",2.2%,0.831,$21.72,$24.24,"$50,420",1.1%
47-2081,Drywall and Ceiling Tile Installers,detail,"101,900",2.3%,0.704,$21.03,$23.64,"$49,170",1.2%
47-2082,Tapers,detail,"18,320",5.1%,0.127,$26.48,$27.57,"$57,340",1.4%
47-2111,Electricians,detail,"655,840",0.8%,4.531,$26.53,$28.46,"$59,190",0.5%
47-2121,Glaziers,detail,"50,940",3.6%,0.352,$20.94,$23.38,"$48,620",1.3%
47-2130,Insulation Workers,broad,"56,440",3.4%,0.390,$20.15,$22.55,"$46,910",1.2%
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",detail,"31,840",4.6%,0.220,$18.50,$20.23,"$42,070",1.2%
47-2132,"Insulation Workers, Mechanical",detail,"24,610",5.0%,0.170,$22.95,$25.57,"$53,180",1.7%
47-2140,Painters and Paperhangers,broad,"231,200",1.2%,1.597,$18.72,$20.69,"$43,030",0.7%
47-2141,"Painters, Construction and Maintenance",detail,"228,420",1.2%,1.578,$18.72,$20.70,"$43,050",0.7%
47-2142,Paperhangers,detail,"2,780",15.0%,0.019,$18.31,$19.64,"$40,840",4.4%
47-2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",broad,"476,140",1.1%,3.290,$25.33,$27.39,"$56,980",0.5%
47-2151,Pipelayers,detail,"38,070",3.0%,0.263,$18.54,$20.91,"$43,500",1.0%
47-2152,"Plumbers, Pipefitters, and Steamfitters",detail,"438,070",1.2%,3.027,$25.92,$27.96,"$58,150",0.6%
47-2161,Plasterers and Stucco Masons,detail,"24,870",5.1%,0.172,$20.93,$22.89,"$47,610",1.5%
47-2171,Reinforcing Iron and Rebar Workers,detail,"18,360",5.2%,0.127,$23.23,$26.28,"$54,670",2.3%
47-2181,Roofers,detail,"128,680",1.7%,0.889,$19.22,$21.09,"$43,870",0.9%
47-2211,Sheet Metal Workers,detail,"131,570",2.1%,0.909,$23.30,$25.34,"$52,710",1.0%
47-2221,Structural Iron and Steel Workers,detail,"77,410",2.8%,0.535,$25.95,$27.97,"$58,170",1.0%
47-2231,Solar Photovoltaic Installers,detail,"8,950",9.6%,0.062,$20.52,$22.12,"$46,010",2.1%
47-3010,"Helpers, Construction Trades",broad,"233,580",1.4%,1.614,$15.00,$15.82,"$32,900",0.4%
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detail,"24,340",3.6%,0.168,$16.05,$17.50,"$36,390",1.3%
47-3012,Helpers--Carpenters,detail,"33,020",3.0%,0.228,$14.85,$15.32,"$31,850",0.8%
47-3013,Helpers--Electricians,detail,"75,970",2.6%,0.525,$15.10,$15.84,"$32,960",0.7%
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detail,"10,600",7.0%,0.073,$14.40,$15.25,"$31,720",1.4%
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detail,"54,710",3.3%,0.378,$14.89,$15.66,"$32,570",0.8%
47-3016,Helpers--Roofers,detail,"8,630",7.4%,0.060,$14.61,$15.26,"$31,740",1.6%
47-3019,"Helpers, Construction Trades, All Other",detail,"26,320",3.6%,0.182,$14.67,$15.56,"$32,370",1.1%
47-4000,Other Construction and Related Workers,minor,"422,540",0.8%,2.919,$21.72,$24.15,"$50,240",0.4%
47-4011,Construction and Building Inspectors,detail,"104,090",1.3%,0.719,$28.70,$30.36,"$63,150",0.6%
47-4021,Elevator Installers and Repairers,detail,"26,830",4.7%,0.185,$38.36,$38.16,"$79,370",1.3%
47-4031,Fence Erectors,detail,"23,530",5.1%,0.163,$16.73,$18.10,"$37,650",1.5%
47-4041,Hazardous Materials Removal Workers,detail,"44,000",3.0%,0.304,$20.21,$22.62,"$47,050",1.1%
47-4051,Highway Maintenance Workers,detail,"149,260",0.8%,1.031,$19.08,$19.92,"$41,440",0.3%
47-4061,Rail-Track Laying and Maintenance Equipment Operators,detail,"14,410",4.9%,0.100,$27.37,$27.46,"$57,120",3.7%
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,detail,"27,090",3.2%,0.187,$18.74,$19.97,"$41,530",0.9%
47-4090,Miscellaneous Construction and Related Workers,broad,"33,340",3.6%,0.230,$18.68,$20.68,"$43,000",1.6%
47-5000,Extraction Workers,minor,"210,820",1.8%,1.457,$21.34,$22.96,"$47,760",0.6%
47-5010,"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining",broad,"79,030",2.8%,0.546,$23.36,$25.46,"$52,950",1.0%
47-5011,"Derrick Operators, Oil and Gas",detail,"11,310",7.1%,0.078,$22.17,$22.90,"$47,630",1.4%
47-5012,"Rotary Drill Operators, Oil and Gas",detail,"18,010",5.8%,0.124,$25.86,$27.28,"$56,740",1.7%
47-5013,"Service Unit Operators, Oil, Gas, and Mining",detail,"49,710",3.6%,0.343,$23.01,$25.38,"$52,780",1.4%
47-5021,"Earth Drillers, Except Oil and Gas",detail,"18,270",4.2%,0.126,$21.36,$22.87,"$47,570",1.1%
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",detail,"5,640",7.5%,0.039,$23.97,$25.38,"$52,780",1.9%
47-5040,Mining Machine Operators,broad,"22,910",5.2%,0.158,$25.34,$25.53,"$53,090",1.3%
47-5041,Continuous Mining Machine Operators,detail,"14,710",7.2%,0.102,$26.21,$26.19,"$54,470",1.4%
47-5042,Mine Cutting and Channeling Machine Operators,detail,"4,920",8.3%,0.034,$22.68,$23.59,"$49,080",3.2%
47-5049,"Mining Machine Operators, All Other",detail,"3,280",11.8%,0.023,$24.76,$25.44,"$52,920",2.7%
47-5051,"Rock Splitters, Quarry",detail,"4,870",8.4%,0.034,$16.71,$17.19,"$35,760",1.7%
47-5061,"Roof Bolters, Mining",detail,"3,250",6.4%,0.022,$28.20,$28.41,"$59,090",1.8%
47-5071,"Roustabouts, Oil and Gas",detail,"54,810",4.3%,0.379,$18.07,$19.34,"$40,220",0.9%
47-5081,Helpers--Extraction Workers,detail,"15,930",4.9%,0.110,$17.48,$18.10,"$37,660",1.1%
47-5099,"Extraction Workers, All Other",detail,"6,110",13.1%,0.042,$26.37,$26.10,"$54,300",2.4%
49-0000,"Installation, Maintenance, and Repair Occupations",major,"5,628,880",0.3%,38.891,$21.89,$23.54,"$48,960",0.1%
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detail,"471,820",0.5%,3.260,$31.80,$33.33,"$69,320",0.2%
49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",minor,"583,310",1.0%,4.030,$24.53,$25.57,"$53,190",0.4%
49-2011,"Computer, Automated Teller, and Office Machine Repairers",detail,"102,810",2.1%,0.710,$18.50,$19.65,"$40,880",0.6%
49-2020,Radio and Telecommunications Equipment Installers and Repairers,broad,"243,820",1.9%,1.685,$26.93,$27.42,"$57,030",0.6%
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",detail,"13,930",6.4%,0.096,$26.39,$27.09,"$56,340",2.0%
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detail,"229,890",2.0%,1.588,$26.97,$27.44,"$57,080",0.6%
49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",broad,"236,690",1.3%,1.635,$25.27,$26.23,"$54,570",0.5%
49-2091,Avionics Technicians,detail,"18,860",3.3%,0.130,$30.84,$31.41,"$65,330",1.5%
49-2092,"Electric Motor, Power Tool, and Related Repairers",detail,"15,800",4.9%,0.109,$20.60,$22.00,"$45,770",1.7%
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detail,"11,680",5.5%,0.081,$29.01,$29.55,"$61,460",1.3%
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detail,"59,520",2.1%,0.411,$27.94,$28.47,"$59,210",0.5%
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detail,"22,980",2.7%,0.159,$38.56,$38.48,"$80,040",0.7%
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",detail,"10,880",8.3%,0.075,$17.11,$17.67,"$36,750",2.1%
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,detail,"26,070",5.1%,0.180,$18.35,$19.13,"$39,800",1.5%
49-2098,Security and Fire Alarm Systems Installers,detail,"70,900",2.6%,0.490,$22.69,$23.34,"$48,540",0.7%
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",minor,"1,614,070",0.4%,11.152,$20.83,$22.21,"$46,200",0.3%
49-3011,Aircraft Mechanics and Service Technicians,detail,"131,690",2.0%,0.910,$30.25,$31.36,"$65,230",1.0%
49-3020,Automotive Technicians and Repairers,broad,"809,740",0.6%,5.595,$19.63,$21.17,"$44,030",0.3%
49-3021,Automotive Body and Related Repairers,detail,"142,060",1.3%,0.982,$20.55,$22.34,"$46,460",0.6%
49-3022,Automotive Glass Installers and Repairers,detail,"19,640",7.0%,0.136,$16.43,$17.49,"$36,370",1.6%
49-3023,Automotive Service Technicians and Mechanics,detail,"648,050",0.7%,4.478,$19.57,$21.02,"$43,730",0.3%
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detail,"264,860",1.1%,1.830,$22.76,$23.63,"$49,150",0.3%
49-3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,broad,"199,280",1.1%,1.377,$24.19,$24.89,"$51,780",0.4%
49-3041,Farm Equipment Mechanics and Service Technicians,detail,"34,300",2.1%,0.237,$19.54,$20.29,"$42,190",0.6%
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detail,"140,260",1.3%,0.969,$24.96,$25.66,"$53,370",0.3%
49-3043,Rail Car Repairers,detail,"24,720",4.9%,0.171,$27.03,$26.93,"$56,020",2.0%
49-3050,Small Engine Mechanics,broad,"69,130",1.9%,0.478,$17.82,$18.84,"$39,180",0.5%
49-3051,Motorboat Mechanics and Service Technicians,detail,"22,280",3.7%,0.154,$19.32,$20.35,"$42,330",1.0%
49-3052,Motorcycle Mechanics,detail,"15,090",3.9%,0.104,$17.69,$18.87,"$39,260",1.1%
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,detail,"31,760",3.0%,0.219,$17.02,$17.76,"$36,940",0.7%
49-3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",broad,"139,370",2.1%,0.963,$13.84,$14.80,"$30,780",0.5%
49-3091,Bicycle Repairers,detail,"12,200",7.0%,0.084,$13.92,$14.56,"$30,290",1.8%
49-3092,Recreational Vehicle Service Technicians,detail,"15,560",4.9%,0.108,$18.35,$19.28,"$40,090",0.9%
49-3093,Tire Repairers and Changers,detail,"111,620",2.4%,0.771,$13.41,$14.20,"$29,530",0.6%
49-9000,"Other Installation, Maintenance, and Repair Occupations",minor,"2,959,670",0.3%,20.449,$20.68,$22.30,"$46,380",0.2%
49-9010,Control and Valve Installers and Repairers,broad,"74,400",2.7%,0.514,$23.89,$25.70,"$53,460",0.9%
49-9011,Mechanical Door Repairers,detail,"22,670",5.2%,0.157,$19.71,$20.84,"$43,350",1.2%
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detail,"51,730",3.2%,0.357,$26.96,$27.83,"$57,890",1.1%
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detail,"324,310",1.3%,2.241,$22.89,$24.12,"$50,160",0.5%
49-9031,Home Appliance Repairers,detail,"31,130",3.6%,0.215,$18.88,$19.72,"$41,020",0.9%
49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",broad,"487,640",0.7%,3.369,$24.82,$25.64,"$53,330",0.2%
49-9041,Industrial Machinery Mechanics,detail,"362,440",0.9%,2.504,$25.16,$25.96,"$54,000",0.2%
49-9043,"Maintenance Workers, Machinery",detail,"80,270",1.4%,0.555,$22.63,$23.42,"$48,720",0.4%
49-9044,Millwrights,detail,"43,810",2.8%,0.303,$26.47,$27.04,"$56,250",0.7%
49-9045,"Refractory Materials Repairers, Except Brickmasons",detail,"1,120",11.7%,0.008,$25.09,$25.24,"$52,510",2.3%
49-9050,Line Installers and Repairers,broad,"233,010",1.7%,1.610,$31.67,$31.03,"$64,540",0.6%
49-9051,Electrical Power-Line Installers and Repairers,detail,"114,800",1.7%,0.793,$34.09,$33.77,"$70,240",0.5%
49-9052,Telecommunications Line Installers and Repairers,detail,"118,200",2.9%,0.817,$28.02,$28.36,"$59,000",1.2%
49-9060,Precision Instrument and Equipment Repairers,broad,"72,010",2.1%,0.498,$23.13,$24.58,"$51,120",0.6%
49-9061,Camera and Photographic Equipment Repairers,detail,"3,690",10.7%,0.025,$19.53,$20.45,"$42,540",2.4%
49-9062,Medical Equipment Repairers,detail,"46,320",2.5%,0.320,$23.66,$25.34,"$52,710",0.8%
49-9063,Musical Instrument Repairers and Tuners,detail,"8,450",8.3%,0.058,$17.47,$18.81,"$39,110",2.2%
49-9064,Watch Repairers,detail,"2,610",10.2%,0.018,$19.19,$21.55,"$44,830",3.5%
49-9069,"Precision Instrument and Equipment Repairers, All Other",detail,"10,930",4.8%,0.076,$27.70,$27.91,"$58,060",1.1%
49-9071,"Maintenance and Repair Workers, General",detail,"1,384,240",0.4%,9.564,$18.42,$19.72,"$41,020",0.2%
49-9081,Wind Turbine Service Technicians,detail,"5,580",12.0%,0.039,$26.14,$27.88,"$58,000",1.8%
49-9090,"Miscellaneous Installation, Maintenance, and Repair Workers",broad,"347,350",1.2%,2.400,$17.39,$19.25,"$40,040",0.4%
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",detail,"32,920",2.9%,0.227,$16.61,$17.49,"$36,390",1.2%
49-9092,Commercial Divers,detail,"3,380",9.5%,0.023,$23.63,$28.59,"$59,470",3.5%
49-9093,"Fabric Menders, Except Garment",detail,400,14.8%,0.003,$14.77,$16.13,"$33,550",3.6%
49-9094,Locksmiths and Safe Repairers,detail,"16,970",4.2%,0.117,$19.93,$21.03,"$43,740",1.2%
49-9095,Manufactured Building and Mobile Home Installers,detail,"2,920",10.6%,0.020,$15.40,$15.82,"$32,910",1.7%
49-9096,Riggers,detail,"20,970",5.5%,0.145,$24.22,$24.68,"$51,330",1.4%
49-9097,Signal and Track Switch Repairers,detail,"7,730",6.3%,0.053,$33.89,$32.60,"$67,800",2.2%
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",detail,"105,040",1.7%,0.726,$14.16,$15.09,"$31,390",0.5%
49-9099,"Installation, Maintenance, and Repair Workers, All Other",detail,"157,030",2.1%,1.085,$18.90,$20.70,"$43,050",0.5%
51-0000,Production Occupations,major,"9,115,530",0.3%,62.982,$16.86,$18.84,"$39,190",0.2%
51-1011,First-Line Supervisors of Production and Operating Workers,detail,"622,790",0.4%,4.303,$29.05,$30.93,"$64,340",0.2%
51-2000,Assemblers and Fabricators,minor,"1,831,200",0.8%,12.652,$15.78,$17.14,"$35,650",0.5%
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detail,"43,150",4.7%,0.298,$25.64,$26.70,"$55,530",2.4%
51-2020,"Electrical, Electronics, and Electromechanical Assemblers",broad,"287,630",1.6%,1.987,$16.20,$17.26,"$35,910",0.5%
51-2021,"Coil Winders, Tapers, and Finishers",detail,"12,190",6.2%,0.084,$16.54,$17.60,"$36,610",1.3%
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",detail,"275,450",1.6%,1.903,$16.18,$17.25,"$35,880",0.5%
51-2031,Engine and Other Machine Assemblers,detail,"48,200",5.0%,0.333,$21.34,$21.79,"$45,330",1.7%
51-2041,Structural Metal Fabricators and Fitters,detail,"76,090",2.0%,0.526,$18.89,$20.02,"$41,640",0.9%
51-2090,Miscellaneous Assemblers and Fabricators,broad,"1,376,130",1.0%,9.508,$15.19,$16.49,"$34,300",0.5%
51-2091,Fiberglass Laminators and Fabricators,detail,"21,190",5.5%,0.146,$16.59,$17.39,"$36,170",1.3%
51-2093,Timing Device Assemblers and Adjusters,detail,780,10.4%,0.005,$16.66,$18.01,"$37,460",3.2%
51-2098,"Assemblers and Fabricators, All Other, Including Team Assemblers",detail,"1,354,150",1.0%,9.356,$15.16,$16.48,"$34,270",0.5%
51-3000,Food Processing Workers,minor,"801,770",1.0%,5.540,$13.58,$14.46,"$30,090",0.3%
51-3011,Bakers,detail,"180,010",1.6%,1.244,$12.75,$13.78,"$28,660",0.4%
51-3020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",broad,"365,660",1.7%,2.526,$13.69,$14.38,"$29,910",0.5%
51-3021,Butchers and Meat Cutters,detail,"133,670",2.1%,0.924,$15.18,$15.97,"$33,210",0.6%
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",detail,"156,440",2.9%,1.081,$12.96,$13.36,"$27,790",0.9%
51-3023,Slaughterers and Meat Packers,detail,"75,550",3.5%,0.522,$13.59,$13.68,"$28,450",0.8%
51-3090,Miscellaneous Food Processing Workers,broad,"256,100",1.7%,1.769,$13.99,$15.07,"$31,340",0.5%
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detail,"21,060",3.1%,0.145,$14.83,$15.74,"$32,730",1.5%
51-3092,Food Batchmakers,detail,"160,160",2.2%,1.107,$14.29,$15.43,"$32,090",0.7%
51-3093,Food Cooking Machine Operators and Tenders,detail,"32,260",4.5%,0.223,$14.48,$15.23,"$31,690",1.1%
51-3099,"Food Processing Workers, All Other",detail,"42,620",4.0%,0.294,$12.44,$13.26,"$27,590",0.7%
51-4000,Metal Workers and Plastic Workers,minor,"1,940,370",0.5%,13.407,$18.70,$19.94,"$41,480",0.2%
51-4010,Computer Control Programmers and Operators,broad,"171,920",1.4%,1.188,$19.95,$21.13,"$43,940",0.5%
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",detail,"148,150",1.5%,1.024,$19.26,$20.17,"$41,960",0.5%
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",detail,"23,770",2.3%,0.164,$25.57,$27.07,"$56,300",0.7%
51-4020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",broad,"120,630",2.0%,0.833,$17.52,$18.35,"$38,170",0.7%
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"75,610",2.4%,0.522,$16.90,$17.61,"$36,620",0.7%
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"18,330",4.5%,0.127,$18.70,$19.60,"$40,770",2.6%
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"26,700",4.3%,0.184,$18.58,$19.61,"$40,790",1.2%
51-4030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",broad,"318,860",1.1%,2.203,$17.05,$18.00,"$37,450",0.5%
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"186,640",1.3%,1.290,$16.57,$17.40,"$36,180",0.6%
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,"11,400",5.3%,0.079,$18.28,$19.95,"$41,490",1.6%
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,"71,870",1.9%,0.497,$16.76,$17.64,"$36,690",0.5%
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,"29,510",4.0%,0.204,$18.84,$19.76,"$41,090",0.8%
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"19,440",7.8%,0.134,$20.95,$21.39,"$44,490",1.6%
51-4041,Machinists,detail,"384,350",1.0%,2.656,$20.97,$21.75,"$45,250",0.3%
51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",broad,"25,520",3.7%,0.176,$19.18,$19.79,"$41,160",1.2%
51-4051,Metal-Refining Furnace Operators and Tenders,detail,"17,670",4.1%,0.122,$19.82,$20.10,"$41,810",1.7%
51-4052,"Pourers and Casters, Metal",detail,"7,850",6.3%,0.054,$18.14,$19.07,"$39,670",1.4%
51-4060,"Model Makers and Patternmakers, Metal and Plastic",broad,"8,090",5.0%,0.056,$24.88,$25.69,"$53,430",1.3%
51-4061,"Model Makers, Metal and Plastic",detail,"5,210",6.9%,0.036,$26.98,$27.36,"$56,920",1.7%
51-4062,"Patternmakers, Metal and Plastic",detail,"2,880",6.8%,0.020,$22.04,$22.66,"$47,130",1.6%
51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",broad,"179,710",1.7%,1.242,$15.30,$16.44,"$34,200",0.5%
51-4071,Foundry Mold and Coremakers,detail,"15,600",4.3%,0.108,$17.04,$17.70,"$36,820",1.0%
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"164,110",1.8%,1.134,$15.13,$16.32,"$33,950",0.5%
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,"133,840",1.8%,0.925,$17.01,$18.03,"$37,510",0.9%
51-4111,Tool and Die Makers,detail,"72,700",2.1%,0.502,$25.36,$25.79,"$53,650",0.8%
51-4120,"Welding, Soldering, and Brazing Workers",broad,"424,270",0.8%,2.931,$19.71,$21.12,"$43,930",0.3%
51-4121,"Welders, Cutters, Solderers, and Brazers",detail,"389,190",0.9%,2.689,$19.89,$21.33,"$44,360",0.3%
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detail,"35,080",3.0%,0.242,$18.11,$18.83,"$39,160",0.7%
51-4190,Miscellaneous Metal Workers and Plastic Workers,broad,"100,470",2.1%,0.694,$17.14,$18.24,"$37,940",0.6%
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detail,"19,690",3.6%,0.136,$18.04,$18.77,"$39,050",0.8%
51-4192,"Layout Workers, Metal and Plastic",detail,"8,170",4.0%,0.056,$23.03,$22.78,"$47,380",1.6%
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",detail,"40,070",3.1%,0.277,$15.58,$16.74,"$34,830",0.7%
51-4194,"Tool Grinders, Filers, and Sharpeners",detail,"7,070",5.1%,0.049,$18.34,$19.66,"$40,890",1.4%
51-4199,"Metal Workers and Plastic Workers, All Other",detail,"25,470",5.7%,0.176,$17.27,$18.34,"$38,140",1.4%
51-5110,Printing Workers,broad,"249,140",1.1%,1.721,$17.36,$18.39,"$38,260",0.4%
51-5111,Prepress Technicians and Workers,detail,"29,990",2.4%,0.207,$19.43,$20.31,"$42,240",0.9%
51-5112,Printing Press Operators,detail,"173,470",1.3%,1.199,$17.41,$18.49,"$38,470",0.5%
51-5113,Print Binding and Finishing Workers,detail,"45,690",2.7%,0.316,$15.81,$16.76,"$34,850",0.8%
51-6000,"Textile, Apparel, and Furnishings Workers",minor,"574,130",0.9%,3.967,$12.11,$13.31,"$27,690",0.3%
51-6011,Laundry and Dry-Cleaning Workers,detail,"213,350",1.3%,1.474,$11.16,$11.77,"$24,480",0.4%
51-6021,"Pressers, Textile, Garment, and Related Materials",detail,"38,320",2.9%,0.265,$11.23,$11.57,"$24,060",0.7%
51-6031,Sewing Machine Operators,detail,"136,450",2.2%,0.943,$12.03,$12.98,"$26,990",0.5%
51-6040,Shoe and Leather Workers,broad,"12,450",8.1%,0.086,$14.09,$14.37,"$29,900",1.7%
51-6041,Shoe and Leather Workers and Repairers,detail,"8,640",9.0%,0.060,$13.87,$14.33,"$29,800",2.0%
51-6042,Shoe Machine Operators and Tenders,detail,"3,810",15.6%,0.026,$14.63,$14.47,"$30,110",2.9%
51-6050,"Tailors, Dressmakers, and Sewers",broad,"26,500",6.2%,0.183,$14.59,$16.04,"$33,350",1.5%
51-6051,"Sewers, Hand",detail,"5,350",12.5%,0.037,$13.78,$14.19,"$29,510",1.8%
51-6052,"Tailors, Dressmakers, and Custom Sewers",detail,"21,150",7.1%,0.146,$14.90,$16.50,"$34,330",1.8%
51-6060,"Textile Machine Setters, Operators, and Tenders",broad,"75,490",2.2%,0.522,$13.88,$14.37,"$29,880",0.6%
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detail,"9,330",6.7%,0.064,$13.84,$14.39,"$29,930",1.1%
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detail,"13,310",4.2%,0.092,$13.57,$14.16,"$29,440",0.9%
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detail,"21,190",3.5%,0.146,$14.02,$14.65,"$30,470",1.1%
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detail,"31,650",3.2%,0.219,$13.90,$14.26,"$29,660",0.8%
51-6090,"Miscellaneous Textile, Apparel, and Furnishings Workers",broad,"71,570",2.7%,0.495,$15.99,$17.18,"$35,740",0.7%
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detail,"18,130",5.0%,0.125,$16.44,$17.07,"$35,500",1.1%
51-6092,Fabric and Apparel Patternmakers,detail,"5,220",9.2%,0.036,$19.50,$23.65,"$49,180",3.3%
51-6093,Upholsterers,detail,"32,870",3.9%,0.227,$16.58,$17.27,"$35,920",0.8%
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detail,"15,360",6.4%,0.106,$13.34,$14.94,"$31,070",1.6%
51-7000,Woodworkers,minor,"257,840",1.3%,1.781,$15.19,$16.19,"$33,680",0.3%
51-7011,Cabinetmakers and Bench Carpenters,detail,"102,100",2.0%,0.705,$16.70,$17.59,"$36,580",0.5%
51-7021,Furniture Finishers,detail,"17,250",2.8%,0.119,$15.36,$16.27,"$33,850",0.8%
51-7030,"Model Makers and Patternmakers, Wood",broad,"1,280",18.4%,0.009,$27.07,$26.70,"$55,540",2.9%
51-7031,"Model Makers, Wood",detail,740,25.3%,0.005,$25.53,$25.29,"$52,590",4.7%
51-7032,"Patternmakers, Wood",detail,530,26.3%,0.004,$29.30,$28.68,"$59,650",3.0%
51-7040,"Woodworking Machine Setters, Operators, and Tenders",broad,"131,240",1.9%,0.907,$14.25,$14.98,"$31,150",0.4%
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detail,"52,260",2.4%,0.361,$14.18,$15.00,"$31,200",0.7%
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detail,"78,980",2.7%,0.546,$14.29,$14.96,"$31,110",0.5%
51-7099,"Woodworkers, All Other",detail,"5,970",5.1%,0.041,$14.98,$16.60,"$34,530",1.8%
51-8000,Plant and System Operators,minor,"301,200",0.9%,2.081,$28.42,$29.72,"$61,820",0.4%
